question,True/False,ActualAnswer,Language
"Monument to Mykhailo Hrushevskyi, Kyiv a-t-il été achevé en 1998?",True,1998,FR
Statue of Taras Shevchenko a-t-il été créé par Volodymyr Chepelyk?,True,Volodymyr Chepelyk,FR
Statue of Taras Shevchenko a-t-il été achevé en 1992?,True,1992,FR
Statue of Lesya Ukrainka a-t-il été créé par Carlo Scarpa?,False,Mykhailo Chereshnovsky,FR
Statue of Lesya Ukrainka a-t-il été achevé en 1975?,True,1975,FR
Monument to the Heroes of the Military Engineers' Army a-t-il été créé par Marquard Wocher?,False,Spiridon Georgescu,FR
Monument to the Heroes of the Military Engineers' Army a-t-il été achevé en 1929?,True,1929,FR
Światowid a-t-il été créé par Indochine française?,False,Jerzy Sobociński,FR
Światowid a-t-il été achevé en 1892?,False,1973,FR
Le Serment de la jeunesse a-t-il été créé par Vladimir Grachyov?,True,Vladimir Grachyov,FR
Le Serment de la jeunesse a-t-il été achevé en 1973?,True,1973,FR
Monument Abertura dos Portos a-t-il été créé par Domenico De Angelis?,True,Domenico De Angelis,FR
Monument Abertura dos Portos a-t-il été achevé en 1899?,True,1899,FR
A. H. Tammsaare Memorial a-t-il été créé par Jaak Soans?,True,Jaak Soans,FR
A. H. Tammsaare Memorial a-t-il été achevé en 1978?,True,1978,FR
Monument to the Revolution of 1905 a-t-il été créé par Juhan Raudsepp?,True,Juhan Raudsepp,FR
Monument to the Revolution of 1905 a-t-il été achevé en http?,False,1931,FR
Hittite Sun Course Monument a-t-il été créé par Giò Pomodoro?,False,Nusret Suman,FR
Hittite Sun Course Monument a-t-il été achevé en 1978?,True,1978,FR
monument à Cuauhtémoc a-t-il été créé par Enrico Butti?,False,Miguel Noreña,FR
monument à Cuauhtémoc a-t-il été achevé en 1940?,False,1887,FR
Monument als Xiquets de Valls a-t-il été créé par Josep Busquets i Òdena?,True,Josep Busquets i Òdena,FR
Monument als Xiquets de Valls a-t-il été achevé en 1969?,True,1969,FR
La Mano de Punta del Este a-t-il été créé par Mario Irarrázabal?,True,Mario Irarrázabal,FR
La Mano de Punta del Este a-t-il été achevé en 1982?,True,1982,FR
Lundeberg Derby Monument a-t-il été créé par Julio González Pola?,False,Buster Simpson,FR
Lundeberg Derby Monument a-t-il été achevé en 1987?,True,1987,FR
Matka Vysočiny a-t-il été créé par Jan Habarta?,True,Jan Habarta,FR
Matka Vysočiny a-t-il été achevé en 1986?,True,1986,FR
Monument to Narciso Díaz de Escovar a-t-il été créé par Juan López López?,True,Juan López López,FR
Monument to Narciso Díaz de Escovar a-t-il été achevé en 1958?,False,1932,FR
Héroes de Cavite a-t-il été créé par Julio González Pola?,True,Julio González Pola,FR
Héroes de Cavite a-t-il été achevé en 1923?,True,1923,FR
Monument to the soldiers of the Ural Volunteer Tank Corps a-t-il été créé par Angelo Zanelli?,False,Vladimir Druzin,FR
Monument to the soldiers of the Ural Volunteer Tank Corps a-t-il été achevé en 1962?,True,1962,FR
Number zero survey marker of the city of São Paulo a-t-il été créé par Juan López López?,False,Jean G. Villin,FR
Number zero survey marker of the city of São Paulo a-t-il été achevé en 1934?,True,1934,FR
monument à Ayrton Senna a-t-il été créé par Melinda Garcia?,True,Melinda Garcia,FR
monument à Ayrton Senna a-t-il été achevé en 1913?,False,1995,FR
Guaicaipuro monument a-t-il été créé par Rafael de la Cova?,True,Rafael de la Cova,FR
Guaicaipuro monument a-t-il été achevé en 1904?,True,1904,FR
Monument of Family in Katowice a-t-il été créé par François Bazin?,False,Jerzy Kwiatkowski,FR
Monument of Family in Katowice a-t-il été achevé en 1905?,False,1963,FR
Wasserwand a-t-il été créé par Mikhaïl Mikéchine?,False,Jürgen Karnopp,FR
Wasserwand a-t-il été achevé en 1500?,False,1984,FR
Monument to the Processionist a-t-il été créé par Manuel Ardil Pagán?,True,Manuel Ardil Pagán,FR
Monument to the Processionist a-t-il été achevé en -255?,False,1983,FR
Casino de Murcia a-t-il été créé par Amandus Adamson?,False,Manuel Castaños Agáñez,FR
Casino de Murcia a-t-il été achevé en 1852?,True,1852,FR
Eternal Light Peace Memorial a-t-il été créé par Lee Lawrie?,True,Lee Lawrie,FR
Eternal Light Peace Memorial a-t-il été achevé en 1959?,False,1938,FR
Statue de Tchaïkovski a-t-il été créé par Vera Moukhina?,True,Vera Moukhina,FR
Statue de Tchaïkovski a-t-il été achevé en 1914?,False,1954,FR
Sculpture of Gottfried Semper a-t-il été créé par Mahmoud Mokhtar?,False,Johannes Schilling,FR
Sculpture of Gottfried Semper a-t-il été achevé en 1690?,False,1892,FR
"Schiller monument, Vienna a-t-il été créé par Johannes Schilling?",True,Johannes Schilling,FR
"Schiller monument, Vienna a-t-il été achevé en 1915?",False,1876,FR
Friedrich Reinhold Kreutzwald monument a-t-il été créé par Jan Wysocki?,False,Amandus Adamson,FR
Friedrich Reinhold Kreutzwald monument a-t-il été achevé en 1926?,True,1926,FR
Nikolai Vatutin monument a-t-il été créé par Marquard Wocher?,False,Ievgueni Voutchetitch,FR
Nikolai Vatutin monument a-t-il été achevé en 1948?,True,1948,FR
Monument to the 1st Cavalry Army a-t-il été créé par Ievgueni Voutchetitch?,True,Ievgueni Voutchetitch,FR
Monument to the 1st Cavalry Army a-t-il été achevé en 1972?,True,1972,FR
monument to Alessandro Rossi a-t-il été créé par Giulio Monteverde?,True,Giulio Monteverde,FR
monument to Alessandro Rossi a-t-il été achevé en 1904?,False,1902,FR
"Statue of Alexander von Humboldt, Berlin a-t-il été créé par Hugo Lederer?",False,Reinhold Begas,FR
"Statue of Alexander von Humboldt, Berlin a-t-il été achevé en 1883?",True,1883,FR
Hölty memorial a-t-il été créé par Levon Tokmajian?,False,Karl Gundelach,FR
Hölty memorial a-t-il été achevé en 1901?,True,1901,FR
Monument à Stepan Chahoumian a-t-il été créé par Sergueï Merkourov?,True,Sergueï Merkourov,FR
Monument à Stepan Chahoumian a-t-il été achevé en 1931?,True,1931,FR
Timiryazev monument in Moscow a-t-il été créé par Sergueï Merkourov?,True,Sergueï Merkourov,FR
Timiryazev monument in Moscow a-t-il été achevé en 1684?,False,1923,FR
Virxe da Rocha a-t-il été créé par Mariano Benlliure?,True,Mariano Benlliure,FR
Virxe da Rocha a-t-il été achevé en 1930?,True,1930,FR
Monument à Alexandre Spendarian a-t-il été créé par Ghoukas Tchoubarian?,True,Ghoukas Tchoubarian,FR
Monument à Alexandre Spendarian a-t-il été achevé en 1953?,True,1953,FR
Monument to Mkhitar Gosh a-t-il été créé par Ghoukas Tchoubarian?,True,Ghoukas Tchoubarian,FR
Monument to Mkhitar Gosh a-t-il été achevé en 1953?,True,1953,FR
monument de Madeleine-De Verchères a-t-il été créé par Louis-Philippe Hébert?,True,Louis-Philippe Hébert,FR
monument de Madeleine-De Verchères a-t-il été achevé en 1950?,False,1913,FR
Yanka Kupala Monument a-t-il été créé par Heinrich Krippel?,False,Leo Gumilevsky,FR
Yanka Kupala Monument a-t-il été achevé en 1840?,False,2007,FR
Arch of Charents a-t-il été créé par Sándor Mikus?,False,Rafael Israelyan,FR
Arch of Charents a-t-il été achevé en 0650?,False,1957,FR
"Armenian Genocide Memorial, Yerevan, Gajagortsneri St. a-t-il été créé par Ismaïl Fatah al Turk?",False,Rafael Israelyan,FR
"Armenian Genocide Memorial, Yerevan, Gajagortsneri St. a-t-il été achevé en 1965?",True,1965,FR
Monument to Lenin in Zaporizhzhia a-t-il été créé par Mikhail G. Lysenko?,True,Mikhail G. Lysenko,FR
Monument to Lenin in Zaporizhzhia a-t-il été achevé en 1930?,False,1964,FR
Monument to Nikola Tesla (Baku) a-t-il été créé par Josep Llimona?,False,Ömer Eldarov,FR
Monument to Nikola Tesla (Baku) a-t-il été achevé en 2013?,True,2013,FR
Stepan Shahumyan monument in Malatia-Sebastia a-t-il été créé par Frid Soghoyan?,True,Frid Soghoyan,FR
Stepan Shahumyan monument in Malatia-Sebastia a-t-il été achevé en 1970?,True,1970,FR
monument Dirgantara a-t-il été créé par Edhi Sunarso?,True,Edhi Sunarso,FR
monument Dirgantara a-t-il été achevé en 1966?,True,1966,FR
mémorial du génocide arménien d'Issy-les-Moulineaux a-t-il été créé par Rein Tomingas?,False,David Erevantzi,FR
mémorial du génocide arménien d'Issy-les-Moulineaux a-t-il été achevé en 1982?,True,1982,FR
Monument to Jakob Hurt a-t-il été créé par Aleksandr Finsky?,False,Jaak Soans,FR
Monument to Jakob Hurt a-t-il été achevé en 1994?,True,1994,FR
Monument to Francysk Skaryna in Polack a-t-il été créé par Xawery Dunikowski?,False,Andrey Zaspitski,FR
Monument to Francysk Skaryna in Polack a-t-il été achevé en 1947?,False,1974,FR
La Main ouverte a-t-il été créé par Le Corbusier?,True,Le Corbusier,FR
La Main ouverte a-t-il été achevé en 1846?,False,1964,FR
Monument to Mikhail Lermontov a-t-il été créé par Frank Meisler?,False,Alexandre Opekouchine,FR
Monument to Mikhail Lermontov a-t-il été achevé en 1889?,True,1889,FR
Statue of John Bunyan a-t-il été créé par Joseph Boehm?,True,Joseph Boehm,FR
Statue of John Bunyan a-t-il été achevé en 1735?,False,1874,FR
Steynbank a-t-il été créé par Henry van de Velde?,True,Henry van de Velde,FR
Steynbank a-t-il été achevé en 1902?,False,1923,FR
Monument Homenatge a Picasso a-t-il été créé par Antoni Tàpies?,True,Antoni Tàpies,FR
Monument Homenatge a Picasso a-t-il été achevé en 1983?,True,1983,FR
monument au fantôme a-t-il été créé par Bruno Tschötschel?,False,Jean Dubuffet,FR
monument au fantôme a-t-il été achevé en 1200?,False,1983,FR
monument à Charles Garnier a-t-il été créé par Jean-Baptiste Carpeaux?,True,Jean-Baptiste Carpeaux,FR
monument à Charles Garnier a-t-il été achevé en 1902?,True,1902,FR
Monument to Roman Gladiator a-t-il été créé par Anatol Anikeychyk?,False,Fernando Botero,FR
Monument to Roman Gladiator a-t-il été achevé en 1985?,True,1985,FR
Konrad Adenauer statue a-t-il été créé par Hans Wimmer?,True,Hans Wimmer,FR
Konrad Adenauer statue a-t-il été achevé en 1995?,True,1995,FR
Monument au docteur Robert a-t-il été créé par Ömer Eldarov?,False,Lluís Domènech i Montaner,FR
Monument au docteur Robert a-t-il été achevé en 1922?,False,1910,FR
"Tegetthoffdenkmal, Vienna a-t-il été créé par Alexander Romanovich Bach?",False,Carl Kundmann,FR
"Tegetthoffdenkmal, Vienna a-t-il été achevé en 1879?",True,1879,FR
Confederate Memorial a-t-il été créé par Moses Ezekiel?,True,Moses Ezekiel,FR
Confederate Memorial a-t-il été achevé en 1912?,True,1912,FR
Michael Park memorial a-t-il été créé par Dirk Hakze?,False,Mati Karmin,FR
Michael Park memorial a-t-il été achevé en 2006?,True,2006,FR
"Prince Eugene monument, Vienna a-t-il été créé par Spiridon Georgescu?",False,Anton Dominik Fernkorn,FR
"Prince Eugene monument, Vienna a-t-il été achevé en 2022?",False,1860,FR
Monumento alla Resistenza a-t-il été créé par Pericle Fazzini?,True,Pericle Fazzini,FR
Monumento alla Resistenza a-t-il été achevé en 1960?,True,1960,FR
A Frederic Soler a-t-il été créé par Mieczysław Welter?,False,Pere Falqués,FR
A Frederic Soler a-t-il été achevé en 1513?,False,1906,FR
FN-monumentet a-t-il été créé par Liss Eriksson?,True,Liss Eriksson,FR
FN-monumentet a-t-il été achevé en 1995?,True,1995,FR
Mehdi Huseynzade Monument a-t-il été créé par Fuad Abdurakhmanov?,True,Fuad Abdurakhmanov,FR
Mehdi Huseynzade Monument a-t-il été achevé en 1902?,False,1973,FR
monument de Nizami Gandjavi à Gandja a-t-il été créé par Fuad Abdurakhmanov?,True,Fuad Abdurakhmanov,FR
monument de Nizami Gandjavi à Gandja a-t-il été achevé en 1843?,False,1946,FR
L.O.V.E. a-t-il été créé par Karl Gundelach?,False,Maurizio Cattelan,FR
L.O.V.E. a-t-il été achevé en 2010?,True,2010,FR
Passages a-t-il été créé par Dani Karavan?,True,Dani Karavan,FR
Passages a-t-il été achevé en 1994?,True,1994,FR
Gay Liberation Monument a-t-il été créé par Miklós Melocco?,False,George Segal,FR
Gay Liberation Monument a-t-il été achevé en 1992?,True,1992,FR
Statue of Henry Campbell-Bannerman a-t-il été créé par Arnaldo Zocchi?,False,Paul Raphael Montford,FR
Statue of Henry Campbell-Bannerman a-t-il été achevé en 1880?,False,1913,FR
Monument to Vardan Mamikonyan a-t-il été créé par Jim Torosian?,False,Ervand Kotchar,FR
Monument to Vardan Mamikonyan a-t-il été achevé en 1828?,False,1975,FR
The Göttingen Seven a-t-il été créé par Floriano Bodini?,True,Floriano Bodini,FR
The Göttingen Seven a-t-il été achevé en 1990?,True,1990,FR
Turul Monument at Bánhida a-t-il été créé par Karl Joseph Leuch?,False,Gyula Donáth,FR
Turul Monument at Bánhida a-t-il été achevé en 1888?,False,1907,FR
Vieux Paris a-t-il été créé par Albert Robida?,True,Albert Robida,FR
Vieux Paris a-t-il été achevé en 1900?,True,1900,FR
monument à Anita Garibaldi a-t-il été créé par Alexandre Opekouchine?,False,Mario Rutelli,FR
monument à Anita Garibaldi a-t-il été achevé en 1931?,True,1931,FR
Still Eilhard Mitscherlich a-t-il été créé par Tadevos Gevorgyan?,False,Carl Ferdinand Hartzer,FR
Still Eilhard Mitscherlich a-t-il été achevé en 1928?,False,1894,FR
Kaisen monument a-t-il été créé par Christa Baumgärtel?,True,Christa Baumgärtel,FR
Kaisen monument a-t-il été achevé en 2012?,True,2012,FR
"Milan Rastislav Štefánik monument, Most a-t-il été créé par Adrián Risueño?",False,Dušan Samo Jurkovič,FR
"Milan Rastislav Štefánik monument, Most a-t-il été achevé en 1966?",False,1923,FR
Monumen Perjuangan TNI AU a-t-il été créé par Arie Berkulin?,False,Force aérienne de l'armée nationale indonésienne,FR
Monumen Perjuangan TNI AU a-t-il été achevé en 1922?,False,1948,FR
Ernst-Thälmann-Denkmal a-t-il été créé par Walter Arnold?,True,Walter Arnold,FR
Ernst-Thälmann-Denkmal a-t-il été achevé en 1978?,False,1962,FR
Konrad Adenauer head (Bonn) a-t-il été créé par Urs Eggenschwyler?,False,Hubertus von Pilgrim,FR
Konrad Adenauer head (Bonn) a-t-il été achevé en 2000?,False,1981,FR
Cloche de la démocratie a-t-il été créé par Monika Larsen Dennis?,False,Via Lewandowsky,FR
Cloche de la démocratie a-t-il été achevé en 2009?,True,2009,FR
Ernst Thälmann Memorial a-t-il été créé par Johannes Peschel?,True,Johannes Peschel,FR
Ernst Thälmann Memorial a-t-il été achevé en 1986?,True,1986,FR
monument à la gloire de l'expansion coloniale française a-t-il été créé par Arie Elhanani?,False,Jean-Baptiste Belloc,FR
monument à la gloire de l'expansion coloniale française a-t-il été achevé en 1913?,True,1913,FR
Monument to Friedrich Joseph Haass a-t-il été créé par Ara Alekyan?,False,Nikolay Andreyev,FR
Monument to Friedrich Joseph Haass a-t-il été achevé en 1909?,True,1909,FR
Wasserschloss a-t-il été créé par Josep Oriol Mestres?,False,Niklaus Sprüngli,FR
Wasserschloss a-t-il été achevé en 1775?,True,1775,FR
Bramante's Tegurium a-t-il été créé par Francesco da Sangallo?,True,Francesco da Sangallo,FR
Bramante's Tegurium a-t-il été achevé en 2000?,False,1513,FR
Barclay de Tolly Monument a-t-il été créé par Jacobus Oud?,False,Vassili Demuth-Malinovski,FR
Barclay de Tolly Monument a-t-il été achevé en 2050?,False,1849,FR
Amandus Adamson memorial a-t-il été créé par Johann Gottfried Schadow?,False,Allan Murdmaa,FR
Amandus Adamson memorial a-t-il été achevé en 1644?,False,1962,FR
Alfred Krupp monument a-t-il été créé par Domenico Fontana?,False,Alois Mayer,FR
Alfred Krupp monument a-t-il été achevé en 1864?,False,1892,FR
Luitpold monument a-t-il été créé par Alois Mayer?,True,Alois Mayer,FR
Luitpold monument a-t-il été achevé en 1902?,True,1902,FR
monument fontaine à Jean-Pierre Pléney a-t-il été créé par Abraham Hirsch?,True,Abraham Hirsch,FR
monument fontaine à Jean-Pierre Pléney a-t-il été achevé en 1896?,True,1896,FR
Queen Alexandra Memorial a-t-il été créé par Max Einsele?,False,Alfred Gilbert,FR
Queen Alexandra Memorial a-t-il été achevé en 1926?,True,1926,FR
Monument Princesse Amélie a-t-il été créé par Charles Pêtre?,True,Charles Pêtre,FR
Monument Princesse Amélie a-t-il été achevé en 1832?,False,1876,FR
statue de la Brabançonne a-t-il été créé par Charles Samuel?,True,Charles Samuel,FR
statue de la Brabançonne a-t-il été achevé en 1902?,False,1930,FR
Raoul Wallenberg Monument a-t-il été créé par Endel Taniloo?,False,Philip Jackson,FR
Raoul Wallenberg Monument a-t-il été achevé en 1993?,False,1997,FR
